experiment,dataset,value,fixed,seed,n_clients,computing,communication,total,n_rounds,n_rounds_file,scale,n_rounds_equiv,file
clients,shakespeare,5,"E = 1, tx = 1.0",1337,5,1246.0997584650001,3.649265949,1249.7490244140001,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_5_e_1_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
clients,shakespeare,5,"E = 1, tx = 1.0",2026,5,1246.0997584650001,4.521814972999999,1250.6215734379998,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_5_e_1_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
clients,shakespeare,5,"E = 1, tx = 1.0",8888,5,1246.0997584650001,3.8119932,1249.911751665,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_5_e_1_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
clients,shakespeare,5,"E = 1, tx = 1.0",9999,5,1246.0997584650001,3.680788526,1249.7805469910002,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_5_e_1_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
clients,shakespeare,8,"E = 1, tx = 1.0",42,8,1582.656068663,3.134641792,1585.790710455,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_8_e_1_bg_multi_tx_1.0_fp_500000000_seed_42.csv
clients,shakespeare,8,"E = 1, tx = 1.0",1337,8,1582.656068663,3.217463257,1585.87353192,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_8_e_1_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
clients,shakespeare,8,"E = 1, tx = 1.0",2026,8,1582.656068663,3.0173496909999997,1585.6734183539998,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_8_e_1_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
clients,shakespeare,8,"E = 1, tx = 1.0",8888,8,1582.656068663,2.591101835,1585.247170498,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_8_e_1_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
clients,shakespeare,8,"E = 1, tx = 1.0",9999,8,1582.656068663,3.589499558,1586.245568221,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_8_e_1_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
clients,shakespeare,10,"E = 1, tx = 1.0",42,10,1756.6006159010003,4.198505931,1760.799121832,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_10_e_1_bg_multi_tx_1.0_fp_500000000_seed_42.csv
