client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,computingDemand,computingCap_hom,computingCap_het,computingTime_hom,computingTime_het
f1158_21,71,,232,train,26414840,26414840,2640603000,1.2784820217639208,5784.104991612956,5785.38347363472,145746950481.08698,100.0,100.0,1.4574695048108697,1.4574695048108697
f0981_17,71,,339,train,26414840,26414840,3960904500,1.8769650720059872,5785.397908501327,5787.274873573333,213974018208.68253,100.0,100.0,2.1397401820868254,2.1397401820868254
f1336_30,71,,262,train,26414840,26414840,3036693450,1.4499964881688356,5787.29491010122,5788.744906589389,165299599651.24725,100.0,100.0,1.6529959965124725,1.6529959965124725
f0690_26,71,,193,train,26414840,26414840,2244512550,1.0779510140419006,5788.765230135992,5789.843181150034,122886415600.77667,100.0,100.0,1.2288641560077667,1.2288641560077667
f0048_00,71,,132,train,26414840,26414840,1452331650,0.7319922596216202,5789.863764099777,5790.595756359398,83447117596.8647,100.0,100.0,0.834471175968647,0.834471175968647
f2148_78,71,,178,train,26414840,26414840,2112482400,0.980505682528019,5790.610272817314,5791.590778499842,111777647808.19415,100.0,100.0,1.1177764780819415,1.1177764780819415
f1128_24,71,,110,train,26414840,26414840,1188271350,0.6117794532328844,5791.610861428082,5792.222640881315,69742857668.54883,100.0,100.0,0.6974285766854882,0.6974285766854882
f2328_92,71,,167,train,26414840,26414840,1980452250,0.9202737882733344,5792.237131640315,5793.157405428588,104911211863.16013,100.0,100.0,1.049112118631601,1.049112118631601
f2557_98,71,,174,train,26414840,26414840,1980452250,0.9683265406638384,5793.172075532377,5794.140402073041,110389225635.67758,100.0,100.0,1.1038922563567757,1.1038922563567757
f1724_42,71,,160,train,26414840,26414840,1848422100,0.8991624023765326,5794.160423504189,5795.059585906565,102504513870.92471,100.0,100.0,1.025045138709247,1.025045138709247
f2339_76,71,,176,train,26414840,26414840,1980452250,0.9742312412708998,5795.080109983683,5796.0543412249535,111062361504.88257,100.0,100.0,1.1106236150488256,1.1106236150488256
f3814_43,71,,180,train,26414840,26414840,2112482400,1.0139686800539494,5796.074877392501,5797.088846072555,115592429526.15022,100.0,100.0,1.155924295261502,1.155924295261502
f0467_18,71,,303,train,26414840,26414840,3564814050,1.709932653233409,5797.10342659615,5798.813359249383,194932322468.6086,100.0,100.0,1.949323224686086,1.949323224686086
f1054_20,71,,282,train,26414840,26414840,3300753750,1.5800354108214378,5798.835956880823,5800.415992291644,180124036833.64392,100.0,100.0,1.801240368336439,1.801240368336439
f3136_07,71,,179,train,26414840,26414840,2112482400,0.9996397271752356,5800.436184708029,5801.435824435204,113958928897.97687,100.0,64.0,1.1395892889797685,1.7806082640308885
f0800_00,71,,278,train,26414840,26414840,3300753750,1.529509840533137,5801.456229766831,5802.985739607364,174364121820.77762,100.0,64.0,1.743641218207776,2.7244394034496504
f0114_20,71,,302,train,26414840,26414840,3564814050,1.6708692591637373,5803.000485224649,5804.671354483813,190479095544.66605,100.0,64.0,1.9047909554466604,2.976235867885407
f0787_21,71,,275,train,26414840,26414840,3168723600,1.5182475298643112,5804.691962111741,5806.210209641606,173080218404.5315,100.0,64.0,1.7308021840453147,2.7043784125708044
f3733_48,71,,182,train,26414840,26414840,2112482400,1.0202733855694532,5806.230698175728,5807.250971561298,116311165954.91766,100.0,64.0,1.1631116595491766,1.8173619680455886
f1848_43,71,,162,train,26414840,26414840,1848422100,0.9026504456996918,5807.271288536489,5808.173938982189,102902150809.76486,100.0,64.0,1.0290215080976486,1.607846106402576
f1855_37,71,,177,train,26414840,26414840,1980452250,0.9836777802556752,5808.188678264618,5809.172356044874,112139266949.14697,100.0,64.0,1.1213926694914695,1.7521760460804214
f4053_14,71,,151,train,26414840,26414840,1716391950,0.8470978550612926,5809.194553714246,5810.041651569307,96569155476.98737,100.0,64.0,0.9656915547698736,1.5088930543279275
f0422_45,71,,293,train,26414840,26414840,3432783900,1.6264513861387968,5810.061808688566,5811.688260074705,185415458019.82285,100.0,64.0,1.8541545801982282,2.897116531559732
f0551_15,71,,268,train,26414840,26414840,3168723600,1.487045641988516,5811.708574203774,5813.195619845763,169523203186.69083,100.0,64.0,1.695232031866908,2.6488000497920443
f1849_46,71,,170,train,26414840,26414840,1980452250,0.9577729515731336,5813.2109366972,5814.168709648773,109186116479.33723,100.0,64.0,1.0918611647933723,1.7060330699896442
f2020_16,71,,149,train,26414840,26414840,1716391950,0.8402949050068855,5814.1887460798025,5815.029040984809,95793619170.78494,100.0,64.0,0.9579361917078494,1.4967752995435148
f2378_69,71,,173,train,26414840,26414840,1980452250,0.9642404206097126,5815.049392033368,5816.013632453978,109923407949.50723,100.0,64.0,1.0992340794950723,1.7175532492110506
f0257_46,71,,374,train,26414840,26414840,4356994950,2.062435381114483,5816.034318128601,5818.096753509715,235117633447.05106,100.0,64.0,2.35117633447051,3.6737130226101726
f3217_28,71,,181,train,26414840,26414840,2112482400,1.01712897233665,5818.111459877342,5819.128588849679,115952702846.37808,100.0,64.0,1.1595270284637809,1.8117609819746576
f1469_25,71,,266,train,26414840,26414840,3036693450,1.46426323056221,5819.148733066395,5820.612996296957,166926008284.09195,100.0,64.0,1.6692600828409194,2.6082188794389367
f3402_08,71,,181,train,26414840,26414840,2112482400,1.0145601984113457,5820.633330799639,5821.647890998051,115659862618.89342,100.0,64.0,1.156598626188934,1.8071853534202096
f0231_43,71,,295,train,26414840,26414840,3432783900,1.6322225760668516,5821.668205497786,5823.300428073853,186073373671.6211,100.0,64.0,1.8607337367162107,2.9073964636190794
f3154_48,71,,172,train,26414840,26414840,1980452250,0.9610708337277174,5823.315047685057,5824.276118518785,109562075044.95978,100.0,64.0,1.0956207504495978,1.7119074225774966
f3277_09,71,,178,train,26414840,26414840,2112482400,0.9806436244398355,5824.296137675643,5825.276781300083,111793373186.14125,100.0,200.0,1.1179337318614124,0.5589668659307062
f0734_39,71,,361,train,26414840,26414840,4224964800,1.9951516948640349,5825.296942286193,5827.292093981057,227447293214.49997,100.0,200.0,2.2744729321449997,1.1372364660724998
f3698_01,71,,166,train,26414840,26414840,1848422100,0.9157801531255244,5827.312265357003,5828.228045510128,104398937456.30978,100.0,200.0,1.0439893745630977,0.5219946872815489
f0358_32,71,,357,train,26414840,26414840,4224964800,1.973916739225388,5828.252153228968,5830.226069968194,225026508271.69424,100.0,200.0,2.2502650827169424,1.1251325413584712
f2235_81,71,,169,train,26414840,26414840,1980452250,0.9543590936809778,5830.250323019922,5831.204682113603,108796936679.63147,100.0,200.0,1.0879693667963146,0.5439846833981573
f4059_48,71,,174,train,26414840,26414840,1980452250,0.967596897855401,5831.219325188547,5832.186922086403,110306046355.51572,100.0,200.0,1.103060463555157,0.5515302317775785
